dataset,question_id,question_type,question,gt_answer,image_path,option_A,option_B,option_C,option_D,modality_type,modality,abs_image_path,is_clear
RadImageNet,RadImageNet_27834,Modality Recognition,Which type of imaging technology was utilized to capture this image?,MRI,Images/RadImageNet/chondral_abnormality/knee028946.png,MRI,CT scan,Ultrasound,Echocardiogram,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/chondral_abnormality/knee028946.png,True
RadImageNet,RadImageNet_35188,Disease Diagnosis,What can be observed in this image?,Chondral abnormality,Images/RadImageNet/chondral_abnormality/knee141099.png,Tendonitis,Chondral abnormality,Bone density loss,Fracture,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/chondral_abnormality/knee141099.png,True
RadImageNet,RadImageNet_48034,Disease Diagnosis,Is there any evident deviation in this image?,"No, It's normal.",Images/RadImageNet/normal/brain-normal018303.png,"There is a possibility of abnormality, but further tests are needed for confirmation.","Yes, it shows a significant abnormality.",It's difficult to determine if there is an abnormality based on this image.,"No, It's normal.",MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/normal/brain-normal018303.png,True
RadImageNet,RadImageNet_34375,Disease Diagnosis,What can be observed in this image?,Chondral abnormality,Images/RadImageNet/chondral_abnormality/foot034762.png,Chondral abnormality,Synovial cyst formation,Ligament tear,Bone density loss,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/chondral_abnormality/foot034762.png,True
RadImageNet,RadImageNet_47553,Disease Diagnosis,Is there any abnormality present in this image?,"No, It's normal.",Images/RadImageNet/normal/shoulder-normal002475.png,"Yes, it shows a significant abnormality.","I'm not sure, but there might be a slight abnormality.","No, It's normal.","I can't say for sure, but it looks abnormal.",MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/normal/shoulder-normal002475.png,True
RadImageNet,RadImageNet_46363,Disease Diagnosis,Is the image showing any deviation from the norm?,"No, It's normal.",Images/RadImageNet/normal/knee-normal004790.png,"Yes, it shows a significant abnormality.",It's difficult to determine if there is an abnormality based on this image.,"No, It's normal.","There is a possibility of abnormality, but further tests are needed for confirmation.",MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/normal/knee-normal004790.png,True
RadImageNet,RadImageNet_30390,Disease Diagnosis,What can be observed in this image?,Atfl pathology.,Images/RadImageNet/atfl_pathology/ankle083238.png,Muscle strain,Cartilage degeneration,Nerve compression,Atfl pathology.,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/atfl_pathology/ankle083238.png,True
RadImageNet,RadImageNet_33687,Disease Diagnosis,What can be observed in this image?,Chondral abnormality,Images/RadImageNet/chondral_abnormality/knee140076.png,Nerve compression,Joint inflammation,Chondral abnormality,Fracture,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/chondral_abnormality/knee140076.png,True
RadImageNet,RadImageNet_53600,Disease Diagnosis,What can be observed in this image?,Soft tissue fluid,Images/RadImageNet/soft_tissue_fluid/foot063416.png,Blood clot,Soft tissue fluid,Cyst formation,Skin rash,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/soft_tissue_fluid/foot063416.png,True
RadImageNet,RadImageNet_32319,Disease Diagnosis,What can be observed in this image?,Capsular pathology,Images/RadImageNet/capsular_pathology/hip050985.png,Respiratory infection,Capsular pathology,Gastrointestinal inflammation,Vascular abnormality,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/capsular_pathology/hip050985.png,True
RadImageNet,RadImageNet_50903,Disease Diagnosis,What can be observed in this image?,Plantar fascia pathology,Images/RadImageNet/plantar_fascia_pathology/ankle075380.png,Plantar fascia pathology,Carpal tunnel syndrome,Rotator cuff tear,Achilles tendonitis,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/plantar_fascia_pathology/ankle075380.png,True
RadImageNet,RadImageNet_43621,Disease Diagnosis,What is the abnormality visible in this image?,Meniscal abnormality,Images/RadImageNet/meniscal_abnormality/knee028212.png,Muscle strain,Joint inflammation,Meniscal abnormality,Arthritis,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/meniscal_abnormality/knee028212.png,True
RadImageNet,RadImageNet_50262,Disease Diagnosis,What can be observed in this image?,Peroneal pathology,Images/RadImageNet/peroneal_pathology/foot107312.png,Meniscal tear,Tendonitis,Peroneal pathology,Plantar fasciitis,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/peroneal_pathology/foot107312.png,True
RadImageNet,RadImageNet_41406,Disease Diagnosis,What can be observed in this image?,Labral pathology,Images/RadImageNet/labral_pathology/shoulder011812.png,Labral pathology,Bone fracture,Cartilage degeneration,Tendonitis,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/labral_pathology/shoulder011812.png,True
RadImageNet,RadImageNet_45547,Disease Diagnosis,Is there any indication of a deviation from the expected in this image?,"No, It's normal.",Images/RadImageNet/normal/hip-normal002750.png,"I can't say for sure, but it looks abnormal.","There is a possibility of abnormality, but further tests are needed for confirmation.","I'm not sure, but there might be a slight abnormality.","No, It's normal.",MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/normal/hip-normal002750.png,True
RadImageNet,RadImageNet_39855,Disease Diagnosis,What can be observed in this image?,GHJ OA,Images/RadImageNet/ghj_oa/shoulder012090.png,GHJ OA,IJK LMN,123 456,XYZ WXY,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/ghj_oa/shoulder012090.png,True
RadImageNet,RadImageNet_42221,Disease Diagnosis,What can be observed in this image?,Liver lesion,Images/RadImageNet/liver_lesion/mrabd008143.png,Liver lesion,Lung infection,Kidney stone,Skin rash,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/liver_lesion/mrabd008143.png,True
RadImageNet,RadImageNet_52202,Disease Diagnosis,What can be observed in this image?,Soft tissue edema,Images/RadImageNet/soft_tissue_edema/foot061422.png,Soft tissue edema,Tumor growth,Inflammation,Bone fracture,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/soft_tissue_edema/foot061422.png,True
RadImageNet,RadImageNet_36927,Disease Diagnosis,What condition is indicated by the visual findings in this image?,Disc pathology,Images/RadImageNet/disc_pathology/spine019116.png,Muscular dystrophy,Disc pathology,Joint dislocation,Nerve compression,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/disc_pathology/spine019116.png,True
RadImageNet,RadImageNet_53818,Disease Diagnosis,What can be observed in this image?,Soft tissue fluid,Images/RadImageNet/soft_tissue_fluid/foot070963.png,Blood clot,Soft tissue fluid,Bone fracture,Tendon tear,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/soft_tissue_fluid/foot070963.png,True
RadImageNet,RadImageNet_51300,Disease Diagnosis,What does this diagnostic image reveal?,post operation type of RadImageNet dataset.,Images/RadImageNet/post_op/shoulder045673.png,Therapeutic type of RadImageNet dataset.,Pre-operation type of RadImageNet dataset.,Prognosis type of RadImageNet dataset.,post operation type of RadImageNet dataset.,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/post_op/shoulder045673.png,True
RadImageNet,RadImageNet_39747,Disease Diagnosis,What can be observed in this image?,GHJ OA,Images/RadImageNet/ghj_oa/shoulder050007.png,ABC DEF,IJK LMN,GHJ OA,RST UVW,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/ghj_oa/shoulder050007.png,True
RadImageNet,RadImageNet_29093,Disease Diagnosis,What condition is depicted in this image?,Acromioclavicular joint osteoarthritis (ACJ OA).,Images/RadImageNet/acj_oa/shoulder030709.png,Patellofemoral pain syndrome,Osteoporosis,Acromioclavicular joint osteoarthritis (ACJ OA).,Rheumatoid arthritis (RA),MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/acj_oa/shoulder030709.png,True
RadImageNet,RadImageNet_38350,Disease Diagnosis,What attribute can be observed in this image?,Extensor pathology,Images/RadImageNet/extensor_pathology_/foot110990.png,Extensor pathology,Tendonitis,Muscle strain,Osteoarthritis,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/extensor_pathology_/foot110990.png,True
RadImageNet,RadImageNet_34542,Disease Diagnosis,What is the condition depicted in this image?,Chondral abnormality,Images/RadImageNet/chondral_abnormality/knee053146.png,Joint inflammation,Chondral abnormality,Tendonitis,Ligament tear,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/chondral_abnormality/knee053146.png,True
RadImageNet,RadImageNet_32721,Disease Diagnosis,What can be observed in this image?,Chondral abnormality,Images/RadImageNet/chondral_abnormality/knee133580.png,Meniscal tear,Chondral abnormality,Muscular imbalance,Ligament tear,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/chondral_abnormality/knee133580.png,True
RadImageNet,RadImageNet_40126,Disease Diagnosis,What is the visual finding in this picture?,Hematoma,Images/RadImageNet/hematoma/hip011943.png,Ruptured tendon,Infection,Sprain,Hematoma,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/hematoma/hip011943.png,True
RadImageNet,RadImageNet_56149,Disease Diagnosis,What can be observed in this image?,Uterine pathology,Images/RadImageNet/uterine_pathology/mrabd027597.png,Uterine pathology,Gastric ulcer,Pancreatitis,Bone fracture,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/uterine_pathology/mrabd027597.png,True
RadImageNet,RadImageNet_42345,Disease Diagnosis,What can be observed in this image?,Liver lesion,Images/RadImageNet/liver_lesion/mrabd008236.png,Liver lesion,Broken bone,Lung infection,Abdominal pain,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/liver_lesion/mrabd008236.png,True
RadImageNet,RadImageNet_56167,Disease Diagnosis,What pathology can be visualized in this image?,Uterine pathology,Images/RadImageNet/uterine_pathology/mrabd026028.png,Heart disease,Pancreatitis,Skin rash,Uterine pathology,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/uterine_pathology/mrabd026028.png,True
RadImageNet,RadImageNet_31900,Disease Diagnosis,What is the possible finding in this image?,Bone inflammation.,Images/RadImageNet/bone_inflammation/ankle016056.png,Osteoporosis.,Bone inflammation.,Nerve compression.,Muscle strain.,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/bone_inflammation/ankle016056.png,True
RadImageNet,RadImageNet_38782,Disease Diagnosis,What attribute can be observed in this image?,Flexor pathology,Images/RadImageNet/flexor_pathology_/ankle064612.png,Bursitis,Extensor pathology,Ligament tear,Flexor pathology,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/flexor_pathology_/ankle064612.png,True
RadImageNet,RadImageNet_39444,Disease Diagnosis,What can be observed in this image?,Foraminal pathology,Images/RadImageNet/foraminal_pathlogy/spine061145.png,Foraminal pathology,Rheumatoid arthritis,Cerebrovascular accident (stroke),Appendicitis,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/foraminal_pathlogy/spine061145.png,True
RadImageNet,RadImageNet_43046,Disease Diagnosis,What can be observed in this image?,MCL pathology,Images/RadImageNet/mcl_pathology/knee156313.png,Carpal tunnel syndrome,MCL pathology,Tennis elbow,Achilles tendon injury,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/mcl_pathology/knee156313.png,True
RadImageNet,RadImageNet_41918,Disease Diagnosis,What can be observed in this image?,Labral pathology,Images/RadImageNet/labral_pathology/shoulder011728.png,Torn ligament,Bone fracture,Labral pathology,Meniscal tear,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/labral_pathology/shoulder011728.png,True
RadImageNet,RadImageNet_49089,Disease Diagnosis,What can be observed in this image?,Osseous disruption,Images/RadImageNet/osseous_disruption/foot001183.png,Intestinal malrotation,Cardiac arrhythmia,Cutaneous ulceration,Osseous disruption,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/osseous_disruption/foot001183.png,True
RadImageNet,RadImageNet_49857,Disease Diagnosis,What is the observation seen in this image?,Pancreatic lesion,Images/RadImageNet/pancreatic_lesion/mrabd021122.png,Liver lesion,Pancreatic lesion,Gallbladder lesion,Spleen lesion,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/pancreatic_lesion/mrabd021122.png,True
RadImageNet,RadImageNet_48816,Disease Diagnosis,What can be observed in this image?,Osseous disruption,Images/RadImageNet/osseous_disruption/ankle004348.png,Intestinal malrotation,Muscular atrophy,Cutaneous ulceration,Osseous disruption,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/osseous_disruption/ankle004348.png,True
RadImageNet,RadImageNet_33130,Disease Diagnosis,What can be observed in this image?,Chondral abnormality,Images/RadImageNet/chondral_abnormality/knee044004.png,Chondral abnormality,Bone density loss,Tendonitis,Ligament tear,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/chondral_abnormality/knee044004.png,True
RadImageNet,RadImageNet_36955,Disease Diagnosis,What is the medical observation that can be made from this image?,Disc pathology,Images/RadImageNet/disc_pathology/spine014477.png,Bone fracture,Disc pathology,Joint dislocation,Muscular dystrophy,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/disc_pathology/spine014477.png,True
RadImageNet,RadImageNet_47032,Disease Diagnosis,Does this image show any abnormalities?,"No, It's normal.",Images/RadImageNet/normal/mri-abd-normal019495.png,"No, It's normal.","There is a possibility of abnormality, but further tests are needed for confirmation.","I'm not sure, but there might be a slight abnormality.","Yes, it shows a significant abnormality.",MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/normal/mri-abd-normal019495.png,True
RadImageNet,RadImageNet_48899,Disease Diagnosis,What can be observed in this image?,Osseous disruption,Images/RadImageNet/osseous_disruption/ankle004277.png,Cutaneous ulceration,Osseous disruption,Intestinal malrotation,Muscular atrophy,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/osseous_disruption/ankle004277.png,True
RadImageNet,RadImageNet_27704,Modality Recognition,Which type of imaging procedure was utilized to obtain this image?,MRI,Images/RadImageNet/soft_tissue_mass/foot081150.png,Bone scan,MRI,Electroencephalogram (EEG),Ultrasound,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/soft_tissue_mass/foot081150.png,True
RadImageNet,RadImageNet_39664,Disease Diagnosis,What can be observed in this image?,Gallbladder pathology,Images/RadImageNet/gallbladder_pathology/mrabd005264.png,Gallbladder pathology,Bone fracture,Pancreatitis,Lung cancer,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/gallbladder_pathology/mrabd005264.png,True
RadImageNet,RadImageNet_54874,Disease Diagnosis,What is present in this image for observation?,Soft tissue fluid collection,Images/RadImageNet/soft_tissue_fluid_collection/knee080336.png,Ligament tear,Blood clot,Joint dislocation,Soft tissue fluid collection,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/soft_tissue_fluid_collection/knee080336.png,True
RadImageNet,RadImageNet_41113,Disease Diagnosis,What can be observed in this image?,Labral pathology,Images/RadImageNet/labral_pathology/shoulder015281.png,Nerve compression,Bursitis,Labral pathology,Muscle strain,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/labral_pathology/shoulder015281.png,True
RadImageNet,RadImageNet_48001,Disease Diagnosis,Is there any evidence of abnormality in this image?,"No, It's normal.",Images/RadImageNet/normal/ankle-normal001148.png,It's difficult to determine if there is an abnormality based on this image.,"There is a possibility of abnormality, but further tests are needed for confirmation.","I can't say for sure, but it looks abnormal.","No, It's normal.",MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/normal/ankle-normal001148.png,True
RadImageNet,RadImageNet_53085,Disease Diagnosis,What can be observed in this image?,Soft tissue fluid,Images/RadImageNet/soft_tissue_fluid/ankle047149.png,Tendon tear,Soft tissue fluid,Joint dislocation,Bone fracture,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/soft_tissue_fluid/ankle047149.png,True
RadImageNet,RadImageNet_37291,Disease Diagnosis,What pathological condition is visible in this image?,Disc pathology,Images/RadImageNet/disc_pathology/spine046930.png,Tissue inflammation,Bone fracture,Disc pathology,Muscular dystrophy,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/disc_pathology/spine046930.png,True
RadImageNet,RadImageNet_50047,Disease Diagnosis,What can be observed in this image?,Patella pathology,Images/RadImageNet/patella_pathology/knee117023.png,Patella pathology,Femur fracture,Achilles tendonitis,Hamstring strain,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/patella_pathology/knee117023.png,True
RadImageNet,RadImageNet_41199,Disease Diagnosis,What can be observed in this image?,Labral pathology,Images/RadImageNet/labral_pathology/hip016351.png,Labral pathology,Bursitis,Cartilage degeneration,Muscle strain,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/labral_pathology/hip016351.png,True
RadImageNet,RadImageNet_47991,Disease Diagnosis,Is there any visible anomaly in this picture?,"No, It's normal.",Images/RadImageNet/normal/mri-abd-normal056716.png,"Yes, it shows a significant abnormality.","No, It's normal.","There is a possibility of abnormality, but further tests are needed for confirmation.",It's difficult to determine if there is an abnormality based on this image.,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/normal/mri-abd-normal056716.png,True
RadImageNet,RadImageNet_37072,Disease Diagnosis,What can be observed in this image?,Disc pathology,Images/RadImageNet/disc_pathology/spine040029.png,Muscular dystrophy,Nerve compression,Joint dislocation,Disc pathology,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/disc_pathology/spine040029.png,True
RadImageNet,RadImageNet_42089,Disease Diagnosis,What can be observed in this image?,Liver disease,Images/RadImageNet/liver_disease_/mrabd006732.png,Gallbladder inflammation,Lung disease,Liver disease,Kidney disease,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/liver_disease_/mrabd006732.png,True
RadImageNet,RadImageNet_47334,Disease Diagnosis,Is there any sign of abnormality in this image?,"No, It's normal.",Images/RadImageNet/normal/spine-normal009307.png,"Yes, it shows a significant abnormality.","I can't say for sure, but it looks abnormal.","There is a possibility of abnormality, but further tests are needed for confirmation.","No, It's normal.",MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/normal/spine-normal009307.png,True
RadImageNet,RadImageNet_38657,Disease Diagnosis,What attribute can be observed in this image?,Flexor pathology,Images/RadImageNet/flexor_pathology_/ankle066672.png,Bursitis,Extensor pathology,Tendonitis,Flexor pathology,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/flexor_pathology_/ankle066672.png,True
RadImageNet,RadImageNet_31087,Disease Diagnosis,What can be observed in this image?,Bone inflammation.,Images/RadImageNet/bone_inflammation/foot011621.png,Muscle strain.,Bone inflammation.,Arthritis.,Bursitis.,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/bone_inflammation/foot011621.png,True
RadImageNet,RadImageNet_34008,Disease Diagnosis,What can be observed in this image?,Chondral abnormality,Images/RadImageNet/chondral_abnormality/knee026670.png,Chondral abnormality,Cartilage degeneration,Joint inflammation,Muscular imbalance,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/chondral_abnormality/knee026670.png,True
RadImageNet,RadImageNet_37283,Disease Diagnosis,What can be observed in this image?,Disc pathology,Images/RadImageNet/disc_pathology/spine028239.png,Disc pathology,Nerve compression,Muscular dystrophy,Joint dislocation,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/disc_pathology/spine028239.png,True
RadImageNet,RadImageNet_54700,Disease Diagnosis,What can be observed in this image?,Soft tissue fluid collection,Images/RadImageNet/soft_tissue_fluid_collection/knee090752.png,Muscle strain,Abscess formation,Soft tissue fluid collection,Bone fracture,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/soft_tissue_fluid_collection/knee090752.png,True
RadImageNet,RadImageNet_30157,Disease Diagnosis,What is the pathological condition observed in this image?,Atfl pathology.,Images/RadImageNet/atfl_pathology/foot105109.png,Infection,Atfl pathology.,Cartilage degeneration,Muscle strain,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/atfl_pathology/foot105109.png,True
RadImageNet,RadImageNet_28408,Disease Diagnosis,What can be observed in this image?,Plantar plate tear.,Images/RadImageNet/Plantar_plate_tear/foot023175.png,Plantar plate tear.,Morton's neuroma.,Gout flare-up.,Bunion formation.,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/Plantar_plate_tear/foot023175.png,True
RadImageNet,RadImageNet_48213,Disease Diagnosis,Is there any irregularity seen in this picture?,"No, It's normal.",Images/RadImageNet/normal/brain-normal027245.png,"No, It's normal.","I'm not sure, but there might be a slight abnormality.","I can't say for sure, but it looks abnormal.","Yes, it shows a significant abnormality.",MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/normal/brain-normal027245.png,True
RadImageNet,RadImageNet_56465,Disease Diagnosis,What can be observed in this image?,White matter changes,Images/RadImageNet/white_matter_changes/brain009906.png,White matter changes,Cerebrospinal fluid accumulation,Inflammation and swelling,Blood vessel abnormalities,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/white_matter_changes/brain009906.png,True
RadImageNet,RadImageNet_50753,Disease Diagnosis,What can be observed in this image?,Plantar fascia pathology,Images/RadImageNet/plantar_fascia_pathology/ankle057714.png,Plantar fascia pathology,Rotator cuff tear,Tennis elbow,Golfer's elbow,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/plantar_fascia_pathology/ankle057714.png,True
RadImageNet,RadImageNet_33635,Disease Diagnosis,What is the finding seen in this picture?,Chondral abnormality,Images/RadImageNet/chondral_abnormality/knee047844.png,Muscular imbalance,Chondral abnormality,Synovial cyst formation,Fracture,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/chondral_abnormality/knee047844.png,True
RadImageNet,RadImageNet_45565,Disease Diagnosis,"Is everything normal in this image, or is there any abnormality?","No, It's normal.",Images/RadImageNet/normal/mri-abd-normal007309.png,"No, It's normal.",It's difficult to determine if there is an abnormality based on this image.,"I'm not sure, but there might be a slight abnormality.","Yes, it shows a significant abnormality.",MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/normal/mri-abd-normal007309.png,True
RadImageNet,RadImageNet_25716,Modality Recognition,Which type of imaging was employed to acquire this picture?,MRI,Images/RadImageNet/renal_lesion/mrabd023959.png,Mammography,MRI,Bone scan,Electroencephalogram (EEG),MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/renal_lesion/mrabd023959.png,True
RadImageNet,RadImageNet_48594,Disease Diagnosis,What abnormality is visible in this image?,Osseous abnormality,Images/RadImageNet/osseous_abn/spine072690.png,Respiratory abnormality,Osseous abnormality,Muscular abnormality,Dermatological abnormality,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/osseous_abn/spine072690.png,True
RadImageNet,RadImageNet_48766,Disease Diagnosis,What is visible in this image?,Osseous disruption,Images/RadImageNet/osseous_disruption/foot004420.png,Vascular congestion,Osseous disruption,Endocrine dysfunction,Intestinal malrotation,MR (Mag-netic Resonance Imaging),,OmniMedVQA/Images/RadImageNet/osseous_disruption/foot004420.png,True
